output_study	output_dataset	output_version	output_variable	input_study	input_dataset	input_version	input_variable
Soep-test	apgen		BMI	Soep-test	ap		ap35
Soep-test				Soep-test	ap		ap36
Soep-test	bpgen		BMI	Soep-test	bp		bp35
Soep-test				Soep-test	bp		bp36
Soep-test	cpgen		BMI	Soep-test	cp		cp35
Soep-test				Soep-test	cp		cp36
Soep-test	ahgen		averageinc	Soep-test	ah		ah10
Soep-test	bhgen		averageinc	Soep-test	bh		bh10
Soep-test	chgen		averageinc	Soep-test	ch		ch10
Soep-test	ahgen		hhmitglieder	Soep-test	al		al14
Soep-test	bhgen		hhmitglieder	Soep-test	bl		bl14
Soep-test	chgen		hhmitglieder	Soep-test	cl		cl14
