study,dataset,version,variable,label,categories,label_de,categories_de
soep-test,ah,v3,ah01,Children,"""0"":"""", ""1"":""Yes"", ""2"":""No""",Kinder,"""0"":"""", ""1"":""Ja"", ""2"":""Nein"""
soep-test,ah,v3,ah02,Dummy for Number of Children,"",Dummy für Anzahl Kinder,""
soep-test,ah,v3,ah03,Year of Birth Child A,"",Geburtsjahr Kind A,""
soep-test,ah,v3,ah04,Year of Birth Child B,"",Geburtsjahr Kind B,""
soep-test,ah,v3,ah05,Geburtsjahr Kind C,"",Geburtsjahr Kind C,""
soep-test,ah,v3,ah06,Geburtsjahr Kind C,"",Geburtsjahr Kind C,""
soep-test,ah,v3,ah07,Change of Residence,"""0"":"""", ""1"":""Ja"", ""2"":""Nein""",Wohnungswechsel,"""0"":"""", ""1"":""Ja"", ""2"":""Nein"""
soep-test,ah,v3,ah08,Residential Area,"""0"":"""", ""1"":"" A mere residential area with predominantly old buildings"", ""2"":"" A mere residential area with predominantly new buildings"", ""3"":""Mixed area with appartments and stores/ industrial units"", ""4"":""Commercial area (stores, banks, administration) with few appartments"", ""5"":"" Industrial units area with few appartments""",Wohngegend,"""0"":"""", ""1"":""Ein reines Wohngebiet mit überwiegend Altbauten"", ""2"":""Ein reines Wohngebiet mit überwiegend Neubauten"", ""3"":""Ein Mischgebiet mit Wohnungen und Geschäften bzw. Gewerbebetrieben"", ""4"":""Ein Geschäftszentrum (Läden, Banken, Verwaltungen) mit wenigen Wohnungen"", ""5"":""Ein Gewerbe- bzw. Industriegebiet mit wenigen Wohnungen"""
soep-test,ah,v3,ah09,Rent in Euro,"",Miete in Euro,""
soep-test,ah,v3,ah10,Total Income per Month,"",Alle Einkünfte im Monat,""
soep-test,ah,v3,ahhnr,Current Household number (=HHNRAKT),"",Aktuelle Haushaltsnummer (=HHNRAKT),""
soep-test,ahbrutto,v3,abula,Bundesland,"""0"":""Berlin"", ""1"":""Schleswig-Holstein"", ""2"":""Hamburg"", ""3"":""Niedersachsen"", ""4"":""Bremen"", ""5"":""Nordrhein-Westfalen"", ""6"":""Hessen"", ""7"":""Rheinl.-Pfalz, Saarl."", ""8"":""Baden-Wuerttemberg"", ""9"":""Bayern"", ""11"":""Berlin (Ost)"", ""12"":""Mecklenburg-Vorpommern"", ""13"":""Brandenburg"", ""14"":""Sachsen-Anhalt"", ""15"":""Thueringen"", ""16"":""Sachsen""",Bundesland,"""0"":""Berlin"", ""1"":""Schleswig-Holstein"", ""2"":""Hamburg"", ""3"":""Niedersachsen"", ""4"":""Bremen"", ""5"":""Nordrhein-Westfalen"", ""6"":""Hessen"", ""7"":""Rheinl.-Pfalz, Saarl."", ""8"":""Baden-Wuerttemberg"", ""9"":""Bayern"", ""11"":""Berlin (Ost)"", ""12"":""Mecklenburg-Vorpommern"", ""13"":""Brandenburg"", ""14"":""Sachsen-Anhalt"", ""15"":""Thueringen"", ""16"":""Sachsen"""
soep-test,ahbrutto,v3,ahhgr,"","","",""
soep-test,ahbrutto,v3,ahhnr,Aktuelle Haushaltsnummer (=HHNRAKT),"",Aktuelle Haushaltsnummer (=HHNRAKT),""
soep-test,ahbrutto,v3,hhnr,Ursprungshaushaltsnummer,"",Ursprungshaushaltsnummer,""
soep-test,ahbrutto,v3,hhnrakt,Aktuelle Haushaltsnummer (=AHNNR),"",Aktuelle Haushaltsnummer (=AHNNR),""
soep-test,ahbrutto,v3,welle,Befragungswelle (2001=1),"",Befragungswelle (2001=1),""
soep-test,ahgen,v3,ah11,Average household net income,"",Durchschnittsnettohaushaltseinkommen,""
soep-test,ahgen,v3,ah12,Number of household members,"",Anzahl Haushaltsmitglieder,""
